,TITRE_OFFRE,DATE_PUB_OFFRE,RESUME_OFFRE
0,Stage M2 : Modélisation statistique appliquée à la transition écologique,Publiée le 04/11/2021 18:10. ,"Stage, Rennes.Entreprise/Organisme :IRMAR - Institut Agro/Agrocampus OuestNiveau d'études :MasterSujet :Sélection de variables dans les modèles d'équations structurelles : application à la transition écologiqueDurée du contrat :4 à 6 moisSecteur d'activité :Statistique, AgroEcologieDescription :La modélisation holistique de systèmes complexes et en particulier d'agrosystèmes doit pouvoir tenir compte du caractère multi-échelle et multi-compartiment du système ainsi que des relations causales qui pilotent l'évolution du système. Les modèles d'équations structurelles offrent un cadre mathématique et théorique particulièrement adapté à ces caractéristiques, notamment en s'appuyant sur la définition d'un graphe orienté acyclique (DAG) et sur l'utilisation d'une structure latente permettant une hiérarchisation du système [Bollen, 1989]. Plus précisemment les modèles d'équations structurelles, par un principe de systèmes d'équations (linéaires ou non-linéaires), permettent de définir les relations causales directes et indirectes entre les variables caractérisant un système d'étude [Pearl et al., 2016]. Les approches parcimonieuses dans les modèles d'équations structurelles se sont pour l'instant limitées à un ensemble de variables observées choisi et/ou des DAGs fixe dans des approches confirmatoires [Shipley, 2016]. 

Le stage s'inscrit dans une approche exploratoire où plusieurs DAGs peuvent être confrontés aux observations et pour laquelle il est attendu que plusieurs modèles ne soit pas rejetés par les données. Dans ce contexte, il est nécessaire de pouvoir comparer les modèles entre eux afin de déterminer, de façon parcimonieuse, un ensemble de variables ``suffisant'' pour caractériser la structure causale globale du système. Le/la candidat/e sera amené/e à proposer et étudier une procédure de sélection de variables dans les modèles d'équations structurelles à variables latentes. Une attention toute particulière sera portée à la comparaison de cette nouvelle avec des pratiques existantes pour identifier les situations expérimentales favorables.En savoir plus :http://emily.perso.math.cnrs.fr/StageM2/StageM2_AO_2122.pdfStageM2_AO_2122.pdfContact :mathieu.emily@agrocampus-ouest.fr"
1,Stage M2/Ecole Ingénieur: Prise en compte des événements récurrents dans l’analyse des toxicités,Publiée le 02/11/2021 13:09. ,"Stage, IUCT-O. Institut Claudius Regaud. 1 avenue Irène Joliot-Curie. 31059 TOULOUSE Cedex 9.Entreprise/Organisme :Institut Claudius Regaud. IUCT-ONiveau d'études :MasterDescription :Contexte scientifique :
Dans la recherche clinique en oncologie, l’analyse et le report des toxicités liées au traitement à l’étude sont d’une importance capitale. En effet, en plus de l’efficacité du traitement, une bonne connaissance du profil de toxicité et de l’impact de celle-ci sur la qualité de vie du patient est cruciale dans le choix de la stratégie thérapeutique. Contrairement aux chimiothérapies, les nouveaux traitements développés à l’heure actuelle, comme les thérapies ciblées ou les immunothérapies, sont administrés de manière continue pendant des mois voire des années jusqu’à la rechute ou la progression de la maladie. Cependant, les méthodes d’analyse des toxicités n’ont pas réellement évolué depuis le début des années 2000 (report de l’incidence des toxicités, grade maximum, …). Il est donc primordial d’utiliser des méthodologies adaptées permettant de capturer et modéliser la durée et le caractère récurrent des toxicités induites par ces durées de traitement prolongées.
Plusieurs approches comme la fonction de prévalence, la « ToxT approach » ou encore la modélisation Q-TWiST ont été utilisées afin de modéliser l’évolution des toxicités au cours du temps (Thanarajasingam, 2015 ; Cabarrou, 2016). Des approches alternatives basées sur les modèles pour événements récurrents ont également été proposées dans la littérature (Gong, 2014 ; Henglebrock, 2016). Ces méthodologies permettent notamment de comparer les profils de toxicité entre des groupes de traitement ou d’estimer son effet sur le risque d’apparition d’une toxicité pouvant survenir de manière récurrente. Les auteurs recommandent également d’utiliser la « mean frequency function » qui correspond au nombre cumulé d’évènements survenus au cours du temps (Ghosh, 2000).

Objectif :
L’objectif de ce stage est d’étudier les méthodologies statistiques basées sur les modèles pour événements récurrents et leur intérêt dans l’analyse des toxicités associées aux nouvelles thérapeutiques en oncologie. Pour cela, les différents modèles étudiés seront notamment appliqués aux données d’un essai clinique (NCT03447483) qui avait pour objectif de recueillir et analyser les toxicités chez des patients traités par immunothérapie.
Encadrement / Information Pratique : Le stagiaire bénéficiera d’un encadrement sur le plan méthodologique et sur le plan clinique.
Profil recherché : Master 2 en Biostatistique / Dernière année d'école d’ingénieurs
Prérequis : Bonnes connaissances en biostatistique (modélisation) et programmation sous les logiciels R et/ou STATA. Un caractère dynamique, entreprenant et motivé, ainsi qu’un esprit multidisciplinaire seront des atoutsEn savoir plus :www.iuct-oncopole.frStage_M2_RecurEvent_v01.pdfContact :filleron.thomas@iuct-oncopole.fr"
2,Stage M2 : étude de convergence des algorithmes d’apprentissage fédéré dans le cas non-iid,Publiée le 02/11/2021 10:39. ,"Stage, Saclay (Ile-de-France).Entreprise/Organisme :CEA LISTNiveau d'études :MasterSujet :En 2016, Google publie les principes fondateurs de l’apprentissage fédéré avec la promesse de créer des IA sans compromettre les données des utilisateurs. Cette méthode est en train de changer le paradigme actuel de l’IA centralisée, où construire de meilleurs modèles se résume souvent à collecter toujours plus de données personnelles et les centraliser sur un serveur. L’apprentissage fédéré est une approche collaborative où tous les utilisateurs d’un service participent à l’apprentissage du modèle sans transmettre leurs données personnelles mais uniquement les paramètres du modèle mis à jour localement. Au lieu de centraliser les données, seuls les paramètres du modèle sont agrégés sur le serveur central ce qui permet d’améliorer la confidentialité des données et de limiter les coûts de communication.
L’apprentissage d’un réseau de neurones nécessite un ensemble de données iid (indépendantes et identiquement distribuées) afin de garantir que le gradient stochastique soit une estimation non biaisée du gradient entier. Contrairement à un apprentissage centralisé, il est impossible dans le cadre de l’apprentissage fédéré d’assurer que les données locales de chaque utilisateur soient toujours iid. Le cas non-iid (où la distribution des données entre utilisateurs sera différente) va entrainer une dégradation des performances du modèle fédéré par rapport à l’approche centralisée. 
L’objectif du stage consiste à étudier les algorithmes qui permettent d’améliorer le processus d’apprentissage d’un modèle fédéré avec données non-iid. L’analyse portera sur la vitesse de convergence de l’optimisation ainsi que la précision du modèle. L’étude sera menée de manière empirique en évaluant les algorithmes sur la base de données EMNIST et également de manière théorique en étudiant les preuves de convergence.Durée du contrat :6 moisDescription :Situé à Saclay, en Ile-de-France sud, le CEA LIST (http://www-list.cea.fr/) est un centre de recherche scientifique et technologique dédié au développement de logiciels, de systèmes embarqués et de capteurs pour des applications destinées à la défense, la sécurité, l’énergie, le nucléaire, l’environnement et la santé. Le CEA LIST fait partie de l’écosystème dynamique et stimulant de l'Université Paris Saclay - le plus grand pôle scientifique français comptant 60 000 étudiants. Il compte plus de 700 chercheurs se focalisant sur les systèmes numériques intelligents, centrés autour de l’intelligence artificielle, l’usine du futur, l’instrumentation innovante, les systèmes cyberphysiques et la santé numérique. Au sein de cet institut, le SID (Service d’Intelligence des Données) travaille sur les algorithmes et méthodologies de l'intelligence artificielle et du traitement du signal. Les recherches et avancées technologiques du service sont guidées par des applications variées, pour lesquelles les spécificités et contraintes sur les données ou l’environnement d’exécution nécessitent une conception fine des IA et de leur intégration comme briques unitaires de systèmes complexes. 
Le stagiaire intégrera l'équipe dédiée à l'apprentissage décentralisé.En savoir plus :http://www-list.cea.fr/poste_stage_FL_CEA.pdfContact :aurelien.mayoue@cea.fr"
3,CDD de 12 mois d'ingénieur d'étude en informatique / data science,Publiée le 29/10/2021 09:46. ,"CDD, Besançon.Entreprise/Organisme :Laboratoire ThéMA, UMR 6049 UBFC, CNRSNiveau d'études :MasterDate de début :dès que possible, début 2022Durée du contrat :12 moisRémunération :selon expérience (grille des ingénieurs d'études)Secteur d'activité :rechercheDescription :La compréhension des préférences résidentielles est un enjeu majeur pour promouvoir une ville durable. Un ensemble de dispositifs d’analyse innovants émergent aujourd’hui pour dépasser les verrous méthodologiques classiques de l’analyse des préférences résidentielles. Le projet RESIDE repose sur le couplage d’une enquête en ligne, basée sur l’évaluation d’un échantillon de photographies de paysages urbains, et d’algorithmes d’intelligence artificielle permettant de généraliser ces évaluations à un ensemble d’images couvrant de manière plus complète un territoire donné. Les résultats attendus fourniront aux acteurs de l’aménagement une base de connaissance inédite pour l’aide à la décision.
La contribution attendue repose notamment sur la mise en œuvre de méthodes de scoring automatique de ces photos par des algorithmes de classification d’image de type réseaux de neuronesEn savoir plus :http://thema.univ-fcomte.fr/offres-d-emploi/appel-%C3%A0-candidature-cdd-de-12-mois-d-ing%C3%A9nieurAppel à candidatures_IE_RESIDE.pdfContact :samuel.carpentier_postel@univ-fcomte.fr"
4,Statisticien Auditeur Senior,Publiée le 27/10/2021 10:37. ,"CDI, Levallois-Perret (92).Entreprise/Organisme :CESP (Centre d'Etude des Supports de Publicité)Niveau d'études :MasterDate de début :Dès que possibleRémunération :Selon expérienceSecteur d'activité :Etude de l'audience des médiasDescription :Statisticien Auditeur Senior, vous aurez un rôle d'expert référent au sein du CESP (Centre d'Etude des Supports de Publicité) qui est l’organisme interprofessionnel, tiers de confiance de l'industrie des médias et de la publicité. Vous serez amené à prendre part à des projets variés à fort enjeu méthodologique dans le secteur des médias et de la publicité. Vous serez rattaché au Directeur Data Science au sein de l'équipe Data, et vos missions évolueront avec les besoins du marché publicitaire et selon les innovations technologiques.En savoir plus :https://www.michaelpage.fr/job-detail/statisticien-auditeur-senior-hf/ref/684751Offre Statisticien Auditeur Senior.pdfContact :bastiendjimbi@michaelpage.fr"
5,Chargé(e) de production statistiques sur le marché du travail,Publiée le 25/10/2021 18:18. ,"CDD, 39-43, Quai André-Citroën 75015 Paris.Entreprise/Organisme :Ministère du travail/direction de l'animation de la recherche, des études et des statistiquesNiveau d'études :MasterDate de début :01/01/2022Durée du contrat :36 moisRémunération :35-50 k€ annuel brutSecteur d'activité :Statistiques économiquesDescription :Encadrement: non

Au sein du département Suivi et indemnisation des demandeurs d'emploi (D-SIDE), vous serez, avec d'autres membres du département, en charge de la production et de l'analyse mensuelle et trimestrielle des statistiques sur les demandeurs d'emploi inscrits à Pôle emploi, source cruciale pour l’'analyse conjoncturelle du marché du travail.

Dans ce cadre, vous serez responsable du contrôle de l'exactitude et de la pertinence des statistiques produites, de l'analyse des évolutions atypiques et de l'évaluation de l'impact des événements pouvant affecter les statistiques. Vous réaliserez la publication ""Dares Indicateurs"" trimestrielle sur les demandeurs d'emploi inscrits à Pôle emploi. Plus généralement, vous contribuerez aux évolutions méthodologiques de cette source de données.

En binôme, vous développerez une expertise méthodologique sur les données des demandeurs d’'emploi, notamment en ce qui concerne les modèles de correction des variations saisonnières et des effets des jours ouvrables, que vous mettrez à jour une fois par an, en les faisant évoluer en cas de besoin.

En binôme avec un autre membre du département, vous serez également amené.e à réaliser des analyses pour répondre aux questions de la direction de la Dares, des cabinets ministériels, ou des corps d’'inspection concernant les demandeurs d'emploi. Vous pourrez également être conduit.e à mener des études plus approfondies sur ce thème.

Partenaires institutionnels :

Outre les membres du département, vous travaillerez avec les statisticiens de Pôle emploi, de la mission de l'Action régionale de la Dares, et avec les services études, statistiques et évaluation des Dreets. Vous serez également amené.e à échanger avec l'Insee.

Spécificités du poste / Contraintes :

Comme tout agent du service statistique public, vous serez soumis au secret statistique. Des contraintes de présence lors des périodes de production statistique pourront être appliquées (trois jours tous les deux mois).En savoir plus :NA2021-31_Chargé(e) de production statistiques sur le marché du travail_rplt DLN.pdfContact :dares.recrutement@travail.gouv.fr"
6,[Stage M2/thèse] Apprentissage de modèles à base de règles pour la prédiction de séries temporelles,Publiée le 25/10/2021 16:21. ,"Stage, CEA Paris-Saclay.Entreprise/Organisme :CEANiveau d'études :MasterSujet :La réduction des coûts liés à l'instrumentation et au stockage permet de disposer aujourd'hui de nombreuses bases de données permettant la mise en œuvre de modèles prédictifs (c'est-à-dire capables de prédire des événements). Le traitement des séries temporelles a fait l'objet de nombreux travaux dans ces différents domaines de l'IA. Nous nous intéressons ici aux algorithmes d'IA symbolique.
Contrairement aux réseaux de neurones, les algorithmes d'intelligence artificielle symbolique permettent d'exploiter des connaissances et de simuler un raisonnement humain. Ces algorithmes permettent d'obtenir des modèles interprétables, c'est-à-dire facilement compréhensibles par un humain. Dans certains domaines dans lesquels l'humain est le sujet principal, comme en médecine ou dans la sécurité, de tels modèles sont nécessaires pour obtenir une IA de confiance. Dans ce cadre, le CEA List développe sa propre plate-forme logicielle ExpressIF (https://expressif.cea.fr) qui est capable d'exploiter des connaissances humaines, d'extraire automatiquement des connaissances depuis des données, et de justifier ses décisions.
Les méthodes de l'état de l'art proposent souvent des cas d'étude simplifiés. D'une part, l'analyse des variables prédictives et à prédire repose souvent sur une analyse des corrélations: la corrélation n'étant pas systématiquement une causalité, le lien peut être quelque peu erroné. D'autre part, la temporalité est souvent simplifiée: on considère souvent les valeurs des variables aux mêmes temps.
Pourtant, de nombreuses applications ne correspondent pas à ces simplifications. A titre d'exemple: 
-	Dans le domaine du manufacturing, on cherche souvent à prédire la défaillance d'un produit par rapport aux différentes étapes du procédé. Or la défaillance peut être causée par des événements ayant eu lieu à différents moments du procédé.
-	Dans le domaine de la cybersécurité (et plus généralement en sécurité), une attaque peut être détectée par différentes tentatives ou différents événements au fil du temps.
-	Dans le cadre de certains capteurs chimiques, les gaz sont transportés par fluidique et présentés à différents capteurs. Les réponses de ces capteurs sont donc décalées dans le temps.
Dans ce contexte, cette thèse a pour objectif de développer une solution innovante pour l'apprentissage d'une base de règles pour la prédiction de séries temporelles. Pour ce faire, il est nécessaire dans un premier temps d'avoir une méthode automatique pour déduire les relations de causalité entre les séries temporelles. Dans un second temps, il sera nécessaire d'appliquer ou adapter ou développer des méthodes d'extraction de vocabulaire pour la définition des règles à partir des relations causales établies. De nouveaux opérateurs spécifiques aux séries temporelles pourront être définis et enrichir la plateforme ExpressIF. Ainsi, ce travail devra prendre en compte la finalité d'apprentissage de la base de règles. Plusieurs enjeux seront donc étudiés dans cette thèse :
1.	l'ordre temporel devra être pris en compte pour définir les relations causales. On cherchera à développer ou adapter une méthode pour des relations non linéaires et non gaussiennes qui sont les plus fréquentes dans les données réelles. La causalité au sens de Granger et ses extensions pour le cas non linéaire ne pourront pas être directement appliquées du fait qu'elles peuvent exprimer une corrélation avec antécédent. En effet, ces méthodes reposent sur le principe d'amélioration de la prévision d'une série par l'intégration d'information exogène qui est possible avec une corrélation.  Dans le but de déduire des bases de règles, l'objectif de ce travail est d'obtenir des relations causales. Ainsi, les graphes causaux bayésiens acycliques peuvent apporter une solution en les adaptant pour les séries temporelles. Du fait de la complexité de ces méthodes, il sera alors nécessaire de proposer une méthode adaptée pour les jeux de données de grande dimension comme dans le domaine du monitoring, par exemple.   
2.	En lien avec le point précédant, une discrétisation des séries pourra être envisagée pour définir les relations causales suivant les valeurs et les instants des séries. Cette discrétisations pourra être mise en relation avec l'extraction de vocabulaire des règles de décision. Par exemple, on considère les variables X, Y et Z. On souhaite obtenir une règle telle que : si X est grand à l'instant t-k et Y est petit à l'instant t-l alors Z est solide à l'instant t. A partir de cet exemple, on peut noter que les règles pourront considérer des décalages temporels différents suivant les causes. 
3.	Enfin, les effets joints des causes seront également considérés. Il existe plusieurs types d'effets joints : additifs, multiplicatifs... Ces relations devront être prises en compte dans l'établissement des règles. 
La thèse sera précédée d'un stage de MASTER2. Dans ce contexte, le premier objectif du stage est d'étudier les différents tests possibles pour l'indépendance/l'influence de séries temporelles (notamment les tests d'indépendance basés sur l'entropie de transfert). Cette étude considérera également les indépendances conditionnelles pour tester une catégorie des effets joints des causes. D'autres types d'effets joints pourront être considérés.  On se concentrera également sur la discrétisation des séries temporelles pour tester l'influence par morceau. Enfin, on s'intéressera à la mise en application de réseaux bayésiens pour la causalité existants dans la littérature.Date de début :Premier semestre 2022 pour le stage et semestre pour la thèseDurée du contrat :6 mois pour le stage et 3 ans pour la thèseRémunération :Selon profilSecteur d'activité :IA, IA symbolique, machine learning, datascienceDescription :Environnement : 
Situé à Saclay, en Ile-de-France sud, le CEA LIST est un institut de recherche scientifique et technologique dédié au développement de logiciels, de systèmes embarqués et de capteurs pour des applications destinées à la défense, la sécurité, l’énergie, le nucléaire, l’environnement et la santé. Le CEA LIST compte plus de 700 chercheurs travaillant sur les systèmes numériques intelligents, centrés autour de l’intelligence artificielle, l’usine du futur, l’instrumentation innovante, les systèmes cyberphysiques et la santé numérique.
Au sein de cet institut, les laboratoires du Service d’Intelligence des Données (SID) travaillent au développement et au transfert industriel de technologies de pointe en IA. Le périmètre technique de nos 50 ingénieurs et chercheurs concerne l’analyse des signaux (c.à.d. des séries temporelles, mais aussi des spectres) produits par les équipements développés en interne, par les équipes du CEA, ou par des sociétés externes. L’exploitation de ces données repose sur un large spectre de méthodes d’apprentissage machine, relevant de l’IA numérique (réseaux de neurones profonds, forêts aléatoires, SVM) et de l’IA symbolique (systèmes à base de règles).

Profil : 
MASTER 2 en IA, datascience, statistique, ingénierie statistique. 

La capacité à travailler en équipe est nécessaire, tout en faisant preuve d'autonomie dans les tâches au quotidien. Les développements en IA avançant rapidement, il est nécessaire que la candidate ou le candidat ait la capacité de renouveler et enrichir ses compétences de manière continue. Enfin, d'excellentes capacités d'expression, orale et écrite, en anglais, vous seront nécessaires pour échanger avec les nombreux partenaires du projet.
Sur le plan scientifique et technique, vous pouvez justifier :
-	de solides compétences en statistique (traitement de séries temporelles, signal) et en machine learning (data science),
-	des connaissances et/ou une expérience en étude de causalité sont un plus,
-	des connaissances en IA symbolique, en particulier (mais non obligatoire)
-	d’une expérience significative en développement logiciel, s’appuyant idéalement sur : 
o	La maîtrise d’un langage de prototypage (idéalement Python 3 ou R),
o	L’utilisation d’outils de développement et de partage de code tels que Git ou SVN sera également appréciée.En savoir plus :Xxstagethese.pdfContact :aurore.lomet@cea.fr"
7,Apprentissage statistique à partir de données temporelles pour l’étude de la biodiversité,Publiée le 19/10/2021 18:19. ,"Stage, Caen.Entreprise/Organisme :UMR CNRS LMNONiveau d'études :MasterSujet :Apprentissage statistique à partir de données temporelles pour l’étude et la construction d’indicateurs de biodiversité
Pus de détail dans le fichier attaché ou sur:
https://chamroukhi.com/phd-training-positions/M2EngInternship-2022-LMNO-ANR-SMILES.pdfDate de début :Janvier/février/mars 2021Durée du contrat :4 à 6 moisRémunération :env 600euros/moisSecteur d'activité :Statistique, Analyse de données, Intelligence ArtificielleDescription :Ce stage se situe dans le cadre du projet ANR SMILES-Statistical Modeling and Inference for unsupervised Learning at largE-Scale, qui est un projet collaboratif de recherche financé par l’Agence Nationale de la Recherche (ANR) dans le cadre de la stratégie nationale de recherche en Intelligence Artificielle. SMILES réunit des chercheurs de quatre organismes de recherche, l’UMR CNRS LMNO, l’UMR CNRS LMRS, l’UMR CNRS LIS et l’équipe-projet INRIA Modal.
Le stage se déroulera au LMNO - Laboratoire de Mathématiques Nicolas Oresme à Caen, en lien avec des questions relatives à l’étude de la diversité actuellement abordées en collabora- tion avec la DREAL-Direction régionale de l’Environnement, de l’Aménagement et du Loge- ment pour l’étude de biodiversité. Il portera sur des activités de recherche et de développe- ment, et de construction et enrichissement de bases données. L’objectif est de montrer l’apport d’approches statistiques, principalement non-supervisées, à l’approfondissement de la connais- sance d’écosystèmes, notamment fluviatiles, en Normandie et au niveau national, ainsi qu’à la construction d’indicateurs de bio-diversité à partir de modèles statistiques à variables latentes.
Un exemple de cas d’étude concerne l’étude de données de thermie de cours d’eau nor- mands, dont les données sont des séries temporelles récoltées à partir de sondes thermiques, avec l’objectif d’identifier, entre autres, des facteurs qui expliquent la thermie des cours d’eau.
Les tâches prévues dans le stages sont principalement les suivantes:
• Regroupement et mise en forme de bases de données (spatio)temporelles
• modélisation et inférence statistiques non-supervisées (modèles de mélanges, cluster- ing/segmentation, analyse en facteurs indépendants, etc)
Ce stage pourrait être poursuivi avec une thèse, en fonction du profil du candidat et sous réserve de l’obtention d’un financement de thèse.
Profil recherché: De formation Bac+5 M2R ou en école d’ingénieurs, avec spécialisation en statistique, science de données, machine learning, ou équivalent, avec des bonnes connaissance en modélisation et inférence statistique, Programmation en Matlab, R, Python
Durée: 4 à 6 mois à partir de février/mars 2022
Date limite de candidature: tant que l’offre n’est pas affichée pourvue
Gratification de stage: ∼ 600 e net en moyenne par mois.
Comment candidater: Envoyer, DANS UN SEUL FICHIER .pdf, votre dossier comprenant un CV, vos relevés de notes des deux dernières années d’étude, et tout autre document que vous jugez utile à faicel.chamroukhi@unicaen.fr et bruno.dardaillon@unicaen.fr en mettant Candidature Stage dans l’objet du message.En savoir plus :https://chamroukhi.com/phd-training-positions/M2EngInternship-2022-LMNO-ANR-SMILES.pdfM:EngInternship-2022-LMNO-ANR-SMILES.pdfContact :faicel.chamoukhi@unicaen.fr"
8,Stage M2 - Biostatiques/Génétique quantitative,Publiée le 18/10/2021 19:32. ,"Stage, La Bohalle, Maine-et-Loire.Entreprise/Organisme :HM. ClauseNiveau d'études :MasterSujet :Utilisation des indices de sélection en amélioration variétale d'espèces potagèresDate de début :01/02/2022Durée du contrat :6 moisRémunération :~1000€Secteur d'activité :Génétique quantitativeDescription :HM. Clause est une des filiales potagères du groupe Limagrain, quatrième semencier mondial. Avec plus de 20 espèces travaillées et 2000 variétés commercialisées, HM. Clause fait partie des 5  premières entreprises de semences potagères dans le monde.

La sélection variétale en espèces potagères se caractérise par le besoin de prendre en compte un nombre conséquent de traits à l'architecture complexe. Cette architecture, combinée à l'importance variable de chacun des traits, rend difficile la création d'un unique critère objectif de sélection. L'approche par indices de sélection, dont l'objectif est justement d'agréger un ensemble de traits en une nouvelle variable synthétique, fournit un cadre adapté et prometteur.

Les objectifs du stage sont avant tout exploratoire et méthodologique et s'axent autour des thèmes suivants:
- Se familiariser avec les indices de sélection et dresser un portrait du cadre méthodologique
- Aider à la construction et la mise en place d'indices des programmes de sélection, en échange avec les équipes de breeding
- Etudier de façon plus large le comportement des indices comme traits complexes dans des contextes classiques de génétique quantitative tels que (GWAS, GS) ou plus méta (indices d'indices)

Le stage incluera donc de la bibliographie, de l'implémentation de méthodes et de l'analyse. Il ne sera néanmoins pas attendu de délivrer un outil au terme du stage.En savoir plus :https://talent.limagrain.com/offre-de-emploi/emploi-stage-m2-biostatistiques-genetique-quantitative-Contact :nicolas.sounac@hmclause.com"
9,Ingénieur d’étude Biostatistiques,Publiée le 18/10/2021 19:31. ,"CDD, Rennes.Entreprise/Organisme :InsermNiveau d'études :MasterDate de début :01/12/21Durée du contrat :12 moisRémunération :selon profilDescription :Le carcinome hépatocellulaire (CHC) est la 3ème cause de décès par cancer dans le monde et son hétérogénéité complique sa prise en charge. Le projet INCA PLBio a pour objectif d’étudier les mécanismes gouvernant l’hétérogénéité du CHC. Dans ce contexte, une analyse intégrée de données de diverses origines (transcriptomique, protéomique, analyse d’images de microscopie, clinique, mesures biophysiques …) est en cours de réalisation afin d’étudier des modèles de progression tumorale et de diversité phénotypique du CHC. Le poste à pourvoir se situe à l’interface entre les disciplines concernées afin de donner du sens aux données recueillies. Vous travaillerez en équipe avec des chercheurs et ingénieurs en biologie moléculaire et cellulaire, des biostatisticiens, mathématiciens, biophysiciens, spécialistes en analyses d’images microscopiques et des médecins anatomopathologistes. Dans ce contexte, vous aurez accès à diverses plateformes technologiques spécialisées.En savoir plus :https://numecan.univ-rennes1.fr/profil_poste_biostat.pdfContact :christelle.reynes@umontpellier.fr"
